Date,Time,HomeTeam,AwayTeam,FTR,HomePoints,AwayPoints,FTR_numerical,HT_form_points_5,AT_form_points_5,HT_h2h_points_5,AT_h2h_points_5
2024-01-21,10:30,Sivasspor,Gaziantep,D,1,1,0,1.4,1.2,0.6,0.0
2024-01-21,13:00,Fenerbahce,Samsunspor,D,1,1,0,2.6,1.4,0.6,0.0
2024-01-22,17:00,Kayserispor,Istanbulspor,A,0,3,2,0.0,0.4,0.2,0.2
2024-01-23,14:00,Hatayspor,Alanyaspor,D,1,1,0,0.4,1.6,0.2,0.2
2024-01-23,17:00,Besiktas,Ad. Demirspor,D,1,1,0,1.8,1.2,0.0,0.6
2024-01-23,17:00,Pendikspor,Kasimpasa,H,3,0,1,1.2,1.4,0.2,0.2
2024-01-24,14:00,Ankaragucu,Karagumruk,H,3,0,1,1.2,0.8,0.2,0.2
2024-01-24,14:00,Gaziantep,Konyaspor,D,1,1,0,1.2,1.0,0.0,0.6
2024-01-24,17:00,Antalyaspor,Sivasspor,H,3,0,1,1.2,1.6,0.2,0.2
2024-01-24,17:00,Buyuksehyr,Fenerbahce,A,0,3,2,1.8,2.2,0.0,0.6
2024-01-25,17:00,Rizespor,Trabzonspor,H,3,0,1,1.4,1.6,0.6,0.0
2024-01-25,17:00,Galatasaray,Istanbulspor,H,3,0,1,2.2,1.0,0.6,0.0
2024-01-25,14:00,Samsunspor,Kayserispor,H,3,0,1,1.4,0.0,0.0,0.6
2024-01-27,13:00,Alanyaspor,Pendikspor,D,1,1,0,1.2,1.6,0.2,0.2
2024-01-27,16:00,Ad. Demirspor,Hatayspor,A,0,3,2,0.8,0.6,0.2,0.2
2024-01-28,10:30,Konyaspor,Buyuksehyr,A,0,3,2,0.6,1.6,0.6,0.0
2024-01-28,13:00,Karagumruk,Rizespor,H,3,0,1,0.8,1.8,0.0,0.6
2024-01-28,13:00,Sivasspor,Besiktas,H,3,0,1,1.0,1.4,0.0,0.6
2024-01-28,16:00,Fenerbahce,Ankaragucu,H,3,0,1,2.6,1.6,0.6,0.0
2024-01-29,17:00,Trabzonspor,Kasimpasa,A,0,3,2,1.4,1.2,0.6,0.0
2024-01-29,14:00,Istanbulspor,Samsunspor,D,1,1,0,1.0,2.0,0.0,0.6
2024-01-29,14:00,Kayserispor,Antalyaspor,D,1,1,0,0.0,1.8,0.2,0.2
2024-01-29,17:00,Galatasaray,Gaziantep,H,3,0,1,2.6,0.8,0.6,0.0
2024-02-02,14:00,Hatayspor,Karagumruk,H,3,0,1,1.2,1.4,0.2,0.2
2024-02-02,17:00,Samsunspor,Galatasaray,A,0,3,2,1.6,2.6,0.0,0.6
2024-02-02,14:00,Ankaragucu,Sivasspor,D,1,1,0,1.6,1.0,0.6,0.0
2024-02-03,10:30,Rizespor,Konyaspor,D,1,1,0,1.2,0.6,0.6,0.0
2024-02-03,13:00,Buyuksehyr,Istanbulspor,H,3,0,1,2.0,1.2,0.6,0.0
2024-02-03,16:00,Antalyaspor,Fenerbahce,A,0,3,2,1.8,2.6,0.0,0.6
2024-02-03,16:00,Gaziantep,Kayserispor,D,1,1,0,0.6,0.2,0.0,0.6
2024-02-04,10:30,Pendikspor,Ad. Demirspor,H,3,0,1,1.6,0.6,0.0,0.6
2024-02-04,13:00,Kasimpasa,Alanyaspor,H,3,0,1,1.2,1.2,0.2,0.2
2024-02-04,16:00,Besiktas,Trabzonspor,H,3,0,1,1.4,0.8,0.0,0.6
2024-02-09,17:00,Ad. Demirspor,Kasimpasa,A,0,3,2,0.4,1.8,0.0,0.6
2024-02-10,13:00,Karagumruk,Pendikspor,H,3,0,1,0.8,2.2,0.2,0.2
2024-02-10,16:00,Galatasaray,Buyuksehyr,H,3,0,1,3.0,2.0,0.6,0.0
2024-02-11,16:00,Fenerbahce,Alanyaspor,D,1,1,0,2.6,1.0,0.6,0.0
2024-02-11,13:00,Konyaspor,Ankaragucu,H,3,0,1,0.8,1.6,0.2,0.2
2024-02-11,10:30,Sivasspor,Rizespor,H,3,0,1,1.0,1.4,0.2,0.2
2024-02-11,13:00,Istanbulspor,Gaziantep,A,0,3,2,1.0,0.6,0.0,0.6
2024-02-12,14:00,Trabzonspor,Hatayspor,H,3,0,1,0.2,1.6,0.0,0.6
2024-02-12,17:00,Kayserispor,Besiktas,D,1,1,0,0.4,1.4,0.0,0.6
2024-02-12,17:00,Samsunspor,Antalyaspor,H,3,0,1,1.6,1.2,0.0,0.6
2024-02-16,17:00,Kasimpasa,Karagumruk,D,1,1,0,2.4,1.4,0.6,0.0
2024-02-17,13:00,Hatayspor,Sivasspor,D,1,1,0,1.4,1.6,0.2,0.2
2024-02-17,16:00,Rizespor,Fenerbahce,A,0,3,2,0.8,2.2,0.0,0.6
2024-02-17,10:30,Antalyaspor,Istanbulspor,D,1,1,0,1.0,0.8,0.6,0.0
2024-02-18,16:00,Ankaragucu,Galatasaray,A,0,3,2,1.0,3.0,0.0,0.6
2024-02-18,13:00,Pendikspor,Trabzonspor,A,0,3,2,2.0,0.6,0.0,0.6
2024-02-18,10:30,Alanyaspor,Ad. Demirspor,D,1,1,0,1.2,0.4,0.0,0.6
2024-02-18,13:00,Gaziantep,Samsunspor,D,1,1,0,1.2,1.6,0.6,0.0
2024-02-19,17:00,Besiktas,Konyaspor,H,3,0,1,1.0,1.2,0.6,0.0
2024-02-19,17:00,Buyuksehyr,Kayserispor,A,0,3,2,1.4,0.6,0.2,0.2
2024-02-23,17:00,Samsunspor,Rizespor,H,3,0,1,1.6,0.8,0.0,0.6
2024-02-24,10:30,Kayserispor,Ankaragucu,H,3,0,1,1.2,0.8,0.0,0.6
2024-02-24,13:00,Gaziantep,Buyuksehyr,A,0,3,2,1.2,1.2,0.0,0.6
2024-02-24,16:00,Fenerbahce,Kasimpasa,H,3,0,1,2.6,2.0,0.6,0.0
2024-02-24,16:00,Konyaspor,Hatayspor,H,3,0,1,1.0,1.6,0.0,0.6
2024-02-25,10:30,Sivasspor,Pendikspor,H,3,0,1,1.6,1.4,0.6,0.0
2024-02-25,13:00,Karagumruk,Alanyaspor,D,1,1,0,1.4,0.8,0.0,0.6
2024-02-25,13:00,Trabzonspor,Ad. Demirspor,H,3,0,1,1.2,0.4,0.0,0.6
2024-02-25,16:00,Istanbulspor,Besiktas,A,0,3,2,0.4,1.6,0.0,0.6
